MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,turno,PLAN,DescTForm,DescCarre,Mail,Enlace,RUEE,RULE
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRÁFICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRÁFICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRÁFICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRÁFICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRÁFICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS GEOGRÁFICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,DERECHO,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,DERECHO,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,DERECHO,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,DERECHO,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,ESPAÑOL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,ESPAÑOL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,ESPAÑOL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,FÍSICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,FÍSICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,FÍSICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,FÍSICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,FÍSICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,HISTORIA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,HISTORIA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,HISTORIA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,HISTORIA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,HISTORIA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,INGLÉS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,INGLÉS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,INGLÉS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,INGLÉS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,LITERATURA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,LITERATURA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,LITERATURA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,LITERATURA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,MATEMÁTICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,MATEMÁTICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,MATEMÁTICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,MATEMÁTICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,QUÍMICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,QUÍMICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,QUÍMICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,QUÍMICA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,SOCIOLOGÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,SOCIOLOGÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,SOCIOLOGÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,SOCIOLOGÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,SOCIOLOGÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,COMUNICACIÓN VISUAL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,COMUNICACIÓN VISUAL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,COMUNICACIÓN VISUAL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,COMUNICACIÓN VISUAL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,COMUNICACIÓN VISUAL,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
